X,Time1-30m-5aA-s2,Time1-30m-1aA-s2,Time1-30m-3aA-s2,Time1-30m-4aA-s2,Time1-30m-2aA-s2,Time2-4h-2bA-s2,Time2-4h-3bA-s2,Time2-4h-1bA-s2,Time3-8h-1aA-s2,Time3-8h-2aA-s2,Time3-8h-3aA-s2,Time4-24hf-2aA-s2,Time4-24hf-3aA-s2,Time4-24hf-1aA-s2,Time5-72h-3aA-s2,Time5-72h-1aA-s2,Time5-72h-2aA-s2,Time6-21d-1bA-s2,Time6-21d-2aA-s2,Time6-21d-3aA-s2
AF034218_at,8.173086862,8.648519307,9.133822129,8.17420329064688,8.695377747,7.61751249132597,8.570816579,7.61451870262741,10.431084789853,10.0779922910077,9.9338054119394,9.062482773,9.378363233,9.18687156062796,9.98555602951515,9.053981107,9.393220797,8.6949206,7.5953955609508,8.908311953
AF038591_at,7.792523742,8.152136983,7.773871006,7.7875522927326,7.997326652,8.67891507679579,8.150323829,7.63835290841645,7.71811669065031,7.63897607130396,7.65092464356967,7.854180033,7.896288826,7.89415212495581,8.14830141111118,8.492354327,7.851797254,7.982418598,7.75626111470842,8.432025136
AF040750_at,7.764004068,9.037749466,8.584644646,7.73728888797266,9.188509266,7.57282720756278,8.611065095,7.89415812293604,7.71349616401191,7.72950701243536,7.88693705387584,9.868851609,9.65729945,9.64519225689416,9.36055239004117,9.156501212,9.709357627,9.84512877,7.55638590466778,9.105358536
AF054826_at,7.77606517,7.616696116,7.693793336,8.04686122063769,7.674148322,7.81844670197194,7.688113538,7.8888119073665,9.38722745955513,8.86879500041976,8.52073822690738,7.77222234,7.758689571,7.95034702452275,8.47507978166147,8.155453742,7.855489536,7.631934699,8.09059316363534,7.663412089
AF055714UTR1_at,8.063428907,7.73362196,7.774477783,9.34906019189927,7.755413771,9.39889472572841,7.537695173,10.3614471639707,8.84261924488967,8.65354929338317,9.10150187332844,7.549719459,7.638408669,7.60890279698689,7.76272066361543,7.602000807,7.577330508,8.261816618,8.60761614842426,7.723638565
AF058791_at,7.689092834,8.658724721,9.184768892,7.6729893877952,8.627724684,11.1893259172583,9.532525019,11.1223546426785,9.77378203272845,9.64969041496336,9.86775299980115,8.368221117,9.056155079,8.75242039342991,8.70992773053835,8.726788384,8.331134046,8.517265448,7.60636988827155,9.367666902
AF079162_at,7.620104271,7.805932183,7.685274162,7.73302627014202,7.772301095,7.76388584186927,7.634523269,7.78276423310267,8.16630887804372,8.21329502411881,8.29881112068849,7.794885067,7.756330788,7.82414770351846,7.90888085330257,7.719582847,7.915817262,8.269346388,8.52773228942789,7.679797977
AF083269_at,9.046883793,7.840065158,7.995591599,9.35273111096412,8.671980962,8.54048894319359,8.627067679,8.94038909482221,10.909280772264,9.83678930643273,10.1230060082639,8.53854957,8.465122812,8.63147799076021,11.0270445603907,10.8442961,9.457004206,8.098272434,10.2659368335166,9.060450227
AF083269_g_at,8.060933295,8.0585129,8.104466946,8.13864186816036,8.021399625,10.2662597838517,7.846691533,10.6590912988032,10.4938418674905,9.46650051438062,9.87719278980923,8.543261223,8.631953563,8.69288726154074,10.8544541162685,10.85977653,9.425402502,8.328364011,10.6306603687384,8.813583185
AF087437UTR#1_s_at,8.929605857,9.337114551,9.297192686,8.53495350323711,9.186055066,7.94440565076554,8.649740573,9.07943816673485,9.88057620611812,9.42165652346197,9.82484703622996,8.884297614,9.302736665,9.08777938526942,10.4889601454583,10.60201357,9.944481751,9.933657344,8.18382124162242,9.384326762
AFFX_Rat_GAPDH_3_st,8.106258509,7.895371571,7.870077443,9.64479222997018,7.853375881,8.23047087086367,7.721142494,9.47731084623307,9.47956140116199,8.75319033787764,9.38417901837434,7.83121478,7.809663857,8.06147403026481,8.17859614299369,8.384237347,7.832102318,7.936656111,9.43879914573123,7.752565614
AFFX-BioB-M_at,8.621495699,9.067493901,8.70203955,9.08614277934601,8.640426874,10.1711218357628,8.798739491,11.0874591524515,10.7531250320193,10.9269991540458,10.5625147529296,8.213244598,8.250138955,8.60606992665962,9.26281223299566,10.35382571,8.611296684,9.174814412,8.8635723343616,8.909039389
