"JMR-RatInj30m-5aA-s2"	"JMR-RatInj30m-1aA-s2"	"JMR-RatInj30m-3aA-s2"	"JMR-RatInj30m-4aA-s2"	"JMR-RatInj30m-2aA-s2"	"JMR-RatInj4h-2bA-s2"	"JMR-RatInj4h-3bA-s2"	"JMR-RatInj4h-1bA-s2"	"JMR-RatInj8h-1aA-s2"	"JMR-RatInj8h-2aA-s2"	"JMR-RatInj8h-3aA-s2"	"JMR-RatInj24hf-2aA-s2"	"JMR-RatInj24hf-3aA-s2"	"JMR-RatInj24hf-1aA-s2"	"JMR-RatInj72h-3aA-s2"	"JMR-RatInj72h-1aA-s2"	"JMR-RatInj72h-2aA-s2"	"JMR-RatInj21d-1bA-s2"	"JMR-RatInj21d-2aA-s2"	"JMR-RatInj21d-3aA-s2"
"AB000929_at"	12.3063417950667	12.3064568914168	12.3064823928119	12.3064628612552	12.3063914156808	12.3064870499633	12.3064078756718	12.3064752091657	12.3064842868685	12.3065130233724	12.3064799519977	12.3069054179764	12.3066735599369	12.3064408168791	12.3063195661522	12.3063444559516	12.3065018732676	12.3064773294993	12.3064901028366	12.3064704919575
"AB001347_s_at"	12.280203826439	12.2816452194765	12.2832152919094	12.282089793684	12.2820199531864	12.282336971505	12.2824447621423	12.2822006917111	12.282868395345	12.2830765306868	12.2831686108797	12.2815876540208	12.2809030164422	12.2812945405337	12.2809380550465	12.2819955840831	12.2809705331338	12.2819844912111	12.2822746613566	12.2825409342052
"AB001453_at"	12.3011113089477	12.3014963624589	12.3018811952982	12.3018637404356	12.3016757066501	12.3016979813694	12.3017079851276	12.3018553115019	12.3019469319283	12.3020320080965	12.3020839002333	12.3017711113696	12.3018612403992	12.301678330689	12.302287222302	12.3018627639134	12.3019459348089	12.3019338856445	12.3018796796407	12.3018667284805
"AB001576_s_at"	12.3049017089784	12.3046118701097	12.304941278891	12.3049095450948	12.3048267560131	12.3049277085097	12.30506154423	12.3048544109361	12.3049152220435	12.3049933795865	12.3049317955655	12.3047116720387	12.3045084421085	12.3047385711416	12.3053696113368	12.304957085583	12.304746522324	12.3049127993661	12.304931232425	12.3049437396651
"AB002086_at"	12.284561258015	12.2863616740311	12.2866678247282	12.2858894179291	12.2856960400674	12.286577374642	12.2864253853365	12.2865027211291	12.286936515228	12.2868210815501	12.2865407971774	12.2853514749988	12.2868850653688	12.2870284335883	12.2861036996263	12.2862171038761	12.2860373710975	12.2861029863365	12.2862901355878	12.2864974846865
"AB002086_g_at"	12.2725938007907	12.2756630047933	12.2764194327836	12.2741628929231	12.2749155907097	12.2758239135807	12.2755962468469	12.275706813604	12.2755887820747	12.2759843691394	12.27570583174	12.2744926615858	12.2770842331712	12.2757746405014	12.2754442492791	12.2756813781019	12.2749605986712	12.27549523388	12.2749695456426	12.2754300459129
"AB002111_at"	12.3077802114113	12.3079718795661	12.3078864357197	12.3079010512446	12.3077843142065	12.307973692411	12.3078595973607	12.3080063282428	12.3078989184424	12.3078527294246	12.3079055023706	12.3073028144931	12.3072152577601	12.3075215158411	12.3076948730018	12.3079304935105	12.3075155107052	12.3080263013841	12.3080837494269	12.3080203159383
"AB002406_at"	12.3051329969243	12.3056066044799	12.3056676396989	12.3053853683993	12.3053751482447	12.3056313738633	12.3055042294245	12.3055612300219	12.305643339762	12.3056225834982	12.3056125928152	12.3052388975422	12.3053127715064	12.3053416457249	12.3053229619822	12.3055194254292	12.3053273928136	12.3055194048691	12.3054984473928	12.3056199935941
"AB003515_at"	12.275649751724	12.2796685354151	12.2784689592035	12.2763990887502	12.2781935890345	12.2790272361697	12.2784632132639	12.2784209270155	12.2776486249575	12.2773953110414	12.2775751780739	12.2765464224882	12.2762113140022	12.2767969939628	12.2764045136645	12.2787312253132	12.2764162923105	12.2782879444425	12.2778743633459	12.2784208769708
"AB003726_at"	12.2916273365964	12.2927537062709	12.2915689246169	12.2921121290516	12.2931153308672	12.2941975757598	12.296228927001	12.2952410506017	12.292673226308	12.2916739687987	12.2915528577477	12.2914592221743	12.2889959411109	12.2904205816354	12.2895125716354	12.2919297975073	12.2902115932118	12.2924816289809	12.2931342965406	12.2930367917878
"AB003991_at"	12.1885776407891	12.1904608225399	12.1903728631251	12.188939679834	12.189070688087	12.1891400843987	12.1902831272458	12.1897719902953	12.18878984589	12.186615041669	12.188939906832	12.187939229636	12.188618286439	12.1865509722008	12.1864635402842	12.1879652193467	12.1865475300102	12.1896272000073	12.189194486407	12.1900604187343
"AB003991_g_at"	12.2369830763251	12.2412063125366	12.2389820224146	12.2380302524221	12.2386140772649	12.2390564291021	12.2404556448694	12.2400797005227	12.2386822512688	12.2376617805834	12.2394376946398	12.2340631191394	12.2338515452913	12.2346986539666	12.2329957066605	12.2377970478899	12.2334694484107	12.239521041517	12.239155121835	12.2416021080155
"AB003992_s_at"	12.2943442941289	12.296334898527	12.2951339955233	12.2945933113508	12.2947029708144	12.2947232791425	12.2948504925894	12.2951029132423	12.2947271885062	12.2946441198162	12.2949524407934	12.2937133785829	12.293526986513	12.293589580199	12.2928006653869	12.2941937938451	12.2933594002375	12.2951439804314	12.2947676178286	12.2955481669989
"AB004096_at"	12.301653242242	12.3022316045416	12.302625448801	12.3021153748178	12.3020993419944	12.3024429345307	12.3022909552006	12.3023560704516	12.3024272333869	12.30240874057	12.3024654010325	12.3020070152714	12.3032703278923	12.3021356384619	12.3022243190215	12.3023726446206	12.3021690269028	12.3023407169811	12.3023332120071	12.3022587304885
"AB004267_at"	12.3007011226379	12.3008841440862	12.3005778055441	12.3008134339842	12.3010173426302	12.3008590895357	12.3012863240036	12.3007508981664	12.3007290439164	12.3006174372079	12.3006480846002	12.3001580518498	12.2999668547806	12.3001870055832	12.3002990343535	12.3013693569321	12.2999326054926	12.3008918737219	12.3012196819631	12.301132423338
"AB004267_g_at"	12.2956305431656	12.2967841529713	12.2968040650342	12.2964393983595	12.2969879073623	12.2970464174727	12.2974692807666	12.2968391136154	12.2967771666118	12.2965804354679	12.2967046899499	12.2959885753696	12.2955729171168	12.2959999817381	12.2958622276075	12.2981397373887	12.2956754005473	12.2972528843364	12.2977405082359	12.2972735926967
"AB004276_s_at"	12.2950844150836	12.295678840399	12.2964349032426	12.2961788898344	12.2959711438293	12.2964058788967	12.296329644736	12.2962535818955	12.2967853457911	12.2963041101418	12.2963355186655	12.2965463320518	12.296524483989	12.2962360678725	12.2958886098747	12.296045206503	12.2957951402748	12.2962743267549	12.2967128708556	12.2966292157714
"AB004277_at"	12.2939524721471	12.2947068896652	12.2947573730665	12.2947711745267	12.2949189665184	12.2945785374154	12.2946076749849	12.294642286404	12.2949364821796	12.2948512789533	12.2949499604654	12.2952880684576	12.2950600329958	12.2952840818399	12.2947480872211	12.2946856377808	12.2952236216634	12.2949106317497	12.2950350969988	12.2948192759569
"AB004278_at"	12.3096652311903	12.3098696078423	12.3098759359995	12.3098538931781	12.3097659488217	12.3098850159863	12.3098120555284	12.3098845277559	12.3098707884437	12.309865839341	12.3098549607687	12.3095189765431	12.3095191211928	12.309724744	12.3097407223314	12.3098458084759	12.3096587108787	12.309931785313	12.309887460821	12.3098776453128
"AB005540_at"	12.2822993335564	12.2853402320194	12.2843943534591	12.2834457486433	12.284160986336	12.2854145767952	12.284604021867	12.2848635753471	12.2845934563784	12.284293986557	12.2844438073612	12.2823478482767	12.2832077878095	12.2831743490556	12.2824274016394	12.2846356915833	12.2826352134096	12.2848203865411	12.2847025972474	12.2850110419795
"AB005540_g_at"	12.2921367453823	12.2931713871012	12.2931593683576	12.2923369436419	12.2927010292514	12.2930035565072	12.2927965498081	12.2929621434814	12.2927538791963	12.2926729194018	12.2927246113551	12.2916616762261	12.2922295175643	12.2919837587633	12.291738727467	12.2931090277321	12.2920182295297	12.2929996063691	12.2928612416582	12.2928638473374
"AB005549_at"	12.3077761791408	12.3080811506441	12.3080747514749	12.307989758119	12.3079424530791	12.3081290892461	12.3079286735756	12.3080947482664	12.3081374101693	12.3080704714661	12.3081156951938	12.3074954015784	12.3076198048546	12.307624580058	12.3078299937191	12.3080392590772	12.3077011250669	12.3080764735342	12.3081126823711	12.3080373186843
