	T504a	T05a	T05b	T504b	C05a	C05b	T05c	C05c	C504a	C0b	C504b	C05d	C0c	T05d
A01157cds_s_at	8.45876154967971	8.80153875549849	8.82739555772459	8.67214022771857	8.69893188154165	8.52261907265402	8.56202304782761	8.62196728582207	8.80209030398869	8.48552116045422	8.78398561620852	8.84258343370584	8.69481554722497	8.59620165959791
A03913cds_s_at	10.8675534206276	10.6954967855489	10.9357881769156	10.7885653524913	10.8887005730324	10.7820980847065	11.1169854552456	10.5873410515738	10.7355469621777	10.7739354868702	10.6932722236377	10.6997848902356	10.8213390373504	10.633736050725
A04674cds_s_at	8.97403858316719	9.44337250883658	9.4390355209035	9.20950400049475	9.78908518921505	8.95475649169199	9.21516515017654	9.23515650263612	9.34775751576005	9.04972362515931	9.08196922825429	9.39418914553367	9.33524818058395	9.27094725678072
A07543cds_s_at	9.5646950682058	9.9991213999367	10.2491316679459	10.0888121051695	10.6461035623749	9.66261349389064	9.84010009978149	9.88267040373863	10.0249718662977	9.77232604258845	9.87083725790073	10.5346429576529	9.83340751996247	10.303595258109
A09811cds_s_at	10.9888846889134	10.5071749150423	10.780001326885	11.7252449795565	11.1110734593362	11.0508738080784	11.8466454989286	10.3142235048307	11.3305881909223	10.9855310748805	10.8964779856318	10.6400075972708	11.5058591411467	11.2797738117953
A16585cds_s_at	8.86774719674968	9.12910732337639	9.05050911110564	9.04064497104199	9.50459245556444	8.63031747428175	9.12811025645072	8.97483234616999	9.17430580891257	9.07889627278836	9.17725806432219	9.13448780172517	9.29961816030144	9.41154857301302
A17753cds_s_at	9.17240953558643	9.46260590721189	9.85644977219451	9.29542296858769	9.95194073101205	8.85239757497469	9.48978250930589	9.27754259022009	9.43387680492608	9.12970746374073	9.24383124637988	9.97624503559769	9.39046346053273	9.85558450909328
A30543cds_s_at	8.35279479769654	8.18184271909929	8.58743725454149	8.390715945585	8.62756242392576	7.9044500748854	8.76367571316195	8.16287550214899	8.58137889530559	8.24651713717654	8.48682571485744	7.84840666347105	8.45511709889067	7.94625139183286
A44407cds_at	8.88606853382361	8.81050489556917	9.34794233232416	8.78389699142352	9.667836691252	8.46504193292115	9.05144194964423	8.553284592439	8.92572825569481	8.98071365996363	8.90555831239936	9.06735725966751	8.82897490182906	8.89292624057841
AA108277_at	10.0852163226195	9.06507587974915	9.47386228074326	9.86881857856659	9.55633645418983	9.67913544163224	9.62840487929334	8.88280087232616	9.76507562311269	9.84519189486251	9.56887723763873	8.8201932031562	10.0737313860788	8.01375771573862
AA108308_i_at	7.37084971047554	7.75682339873937	7.46581598167167	7.49791876068005	7.76961762953439	7.10733119775287	7.02044459430325	7.05047507363731	7.42193564797496	7.60816201580453	7.5350328185639	8.04682613585342	8.01782217332601	6.92570781968647
AA108308_s_at	11.4430704683902	11.9009863198098	12.2168558261974	11.7426782748639	12.0964136058579	11.5028010901726	11.4493228622847	11.618661687628	11.5490324358304	11.6299072149609	11.5914766030245	12.4556382374086	11.8455671022347	12.2936238304539
AA684537_at	11.0709453663081	10.8041689612734	11.6318474255695	11.1527873123192	11.507863042986	11.0511329467991	11.2791584861921	11.184245435334	10.970311245707	11.3168092520499	11.1680189822514	11.0125471800241	11.2384651723247	10.6457811780846
AA684929_f_at	10.4647714852019	10.5106901591783	10.8614532357464	10.7996188166816	10.9750554697588	10.6106410594744	10.527846074739	10.6297619425309	10.8135504472056	10.6147989455185	10.705765168349	10.7305628596782	10.6316060912966	10.5222730853627
AA684960_f_at	10.6510810130289	10.8938326859809	11.1505977041683	11.1410542472251	11.0857529042823	10.7106605972471	10.7760367301338	10.6813843692191	11.0647701199623	10.8848969752463	10.9251881388489	10.9745087375648	10.8086391304255	10.8175268923209
AA684963_at	12.0477439960815	11.658764794293	11.5521251373764	11.99616239549	11.7947978919348	11.960154180752	12.0932317452565	11.5609483126049	11.7605068191099	11.8605257719702	11.7559624263022	11.1882076966937	11.6265346229371	10.702499363595
AA685112_at	10.7748077170966	10.6432891661025	10.7767100392368	10.8415238218357	10.5355007675001	10.7830472974206	11.0811101655066	10.3138811146687	10.6224819950254	10.6027832878837	10.6320025254472	10.1395574527233	10.709719321578	9.70977634364363
